"Report reference","Item reference","Type","Title","LGA","Community","Sector","Observation date","First submitted","Revision number","Review state","Observed progress","Confirmed progress","Observation","Evidence count"
"RPT-00061","ITEM-0011","PUBLIC_PROJECT","DEMO — School roof repair Machina","Machina","Demo community 11","Education","2026-09-02","2026-09-08T02:56:53.381Z","1","APPROVED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00046","ITEM-0025","SERVICE_ISSUE","DEMO — Water point service check Gulani","Gulani","Demo community 8","Livelihoods","2026-09-04","2026-09-08T02:56:53.381Z","1","VERIFIED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00066","ITEM-0028","SERVICE_ISSUE","DEMO — Water point service check Machina","Machina","Demo community 11","Livelihoods","2026-09-06","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00064","ITEM-0028","SERVICE_ISSUE","DEMO — Water point service check Machina","Machina","Demo community 11","Livelihoods","2026-09-02","2026-09-08T02:56:53.381Z","1","APPROVED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00018","ITEM-0020","SERVICE_ISSUE","DEMO — Water point service check Damaturu","Damaturu","Demo community 3","Health","2026-09-08","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00050","ITEM-0009","PUBLIC_PROJECT","DEMO — School roof repair Jakusko","Jakusko","Demo community 9","Livelihoods","2026-09-07","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00026","ITEM-0005","PUBLIC_PROJECT","DEMO — School roof repair Fune","Fune","Demo community 5","Education","2026-09-08","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00027","ITEM-0005","PUBLIC_PROJECT","DEMO — School roof repair Fune","Fune","Demo community 5","Education","2026-09-10","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00015","ITEM-0003","PUBLIC_PROJECT","DEMO — School roof repair Damaturu","Damaturu","Demo community 3","Livelihoods","2026-09-08","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00053","ITEM-0026","SERVICE_ISSUE","DEMO — Water point service check Jakusko","Jakusko","Demo community 9","Health","2026-09-07","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","OPEN","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00060","ITEM-0027","SERVICE_ISSUE","DEMO — Water point service check Karasuwa","Karasuwa","Demo community 10","Education","2026-09-10","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00063","ITEM-0011","PUBLIC_PROJECT","DEMO — School roof repair Machina","Machina","Demo community 11","Education","2026-09-06","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00004","ITEM-0018","SERVICE_ISSUE","DEMO — Water point service check Bade","Bade","Demo community 1","Education","2026-09-02","2026-09-08T02:56:53.380Z","1","APPROVED","OPEN","OPEN","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00002","ITEM-0001","PUBLIC_PROJECT","DEMO — School roof repair Bade","Bade","Demo community 1","Health","2026-09-04","2026-09-08T02:56:53.380Z","1","SUBMITTED","NOT_STARTED","IN_PROGRESS","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00001","ITEM-0001","PUBLIC_PROJECT","DEMO — School roof repair Bade","Bade","Demo community 1","Health","2026-09-02","2026-09-08T02:56:53.380Z","1","APPROVED","IN_PROGRESS","IN_PROGRESS","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00005","ITEM-0018","SERVICE_ISSUE","DEMO — Water point service check Bade","Bade","Demo community 1","Education","2026-09-04","2026-09-08T02:56:53.380Z","1","SUBMITTED","ACTION_IN_PROGRESS","OPEN","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00006","ITEM-0018","SERVICE_ISSUE","DEMO — Water point service check Bade","Bade","Demo community 1","Education","2026-09-06","2026-09-08T02:56:53.380Z","1","IN_REVIEW","ACTION_IN_PROGRESS","OPEN","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00003","ITEM-0001","PUBLIC_PROJECT","DEMO — School roof repair Bade","Bade","Demo community 1","Health","2026-09-06","2026-09-08T02:56:53.380Z","1","IN_REVIEW","NOT_STARTED","IN_PROGRESS","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
